record_id,logical_trace_id,request_id,request_ordinal,ai_turn_index,context_tokens
swe_agent_record_00035,adamchainz__pip-lock-121,swe_agent_record_00035_turn_00224,111,224,26636
swe_agent_record_00036,adamchainz__pip-lock-121,swe_agent_record_00036_turn_00018,8,18,7362
swe_agent_record_00037,adamchainz__pip-lock-121,swe_agent_record_00037_turn_00076,37,76,27319
swe_agent_record_00038,adamchainz__pip-lock-121,swe_agent_record_00038_turn_00020,9,20,2881
swe_agent_record_00039,adamchainz__pip-lock-121,swe_agent_record_00039_turn_00030,14,30,20075
swe_agent_record_00040,asottile__pyupgrade-242,swe_agent_record_00040_turn_00090,44,90,26341
swe_agent_record_00041,asottile__pyupgrade-242,swe_agent_record_00041_turn_00434,216,434,25835
swe_agent_record_00042,asottile__pyupgrade-242,swe_agent_record_00042_turn_00024,11,24,6612
swe_agent_record_00043,asottile__pyupgrade-242,swe_agent_record_00043_turn_00074,36,74,27143
swe_agent_record_00044,asottile__pyupgrade-242,swe_agent_record_00044_turn_00036,17,36,9964
swe_agent_record_00045,asottile__pyupgrade-242,swe_agent_record_00045_turn_00044,21,44,11817
swe_agent_record_00046,asottile__pyupgrade-242,swe_agent_record_00046_turn_00054,26,54,17779
swe_agent_record_00047,asottile__pyupgrade-242,swe_agent_record_00047_turn_00030,14,30,7509
swe_agent_record_00048,asottile__pyupgrade-242,swe_agent_record_00048_turn_00078,38,78,27089
swe_agent_record_00049,asottile__pyupgrade-242,swe_agent_record_00049_turn_00022,10,22,10249
swe_agent_record_00050,asottile__pyupgrade-242,swe_agent_record_00050_turn_00032,15,32,5940
swe_agent_record_00051,asottile__pyupgrade-242,swe_agent_record_00051_turn_00030,14,30,8387
swe_agent_record_00052,asottile__pyupgrade-242,swe_agent_record_00052_turn_00022,10,22,14328
swe_agent_record_00053,asottile__pyupgrade-242,swe_agent_record_00053_turn_00036,17,36,13500
swe_agent_record_00054,asottile__pyupgrade-242,swe_agent_record_00054_turn_00034,16,34,8916
swe_agent_record_00055,asottile__pyupgrade-242,swe_agent_record_00055_turn_00030,14,30,7381
swe_agent_record_00056,awdeorio__mailmerge-155,swe_agent_record_00056_turn_00024,11,24,10711
swe_agent_record_00057,awdeorio__mailmerge-155,swe_agent_record_00057_turn_00028,13,28,12065
swe_agent_record_00058,awdeorio__mailmerge-155,swe_agent_record_00058_turn_00022,10,22,9980
swe_agent_record_00059,awdeorio__mailmerge-155,swe_agent_record_00059_turn_00020,9,20,8464
swe_agent_record_00060,awdeorio__mailmerge-155,swe_agent_record_00060_turn_00026,12,26,9745
swe_agent_record_00061,awdeorio__mailmerge-155,swe_agent_record_00061_turn_00024,11,24,10318
swe_agent_record_00062,awdeorio__mailmerge-155,swe_agent_record_00062_turn_00024,11,24,9102
swe_agent_record_00063,awdeorio__mailmerge-155,swe_agent_record_00063_turn_00020,9,20,8164
swe_agent_record_00064,awdeorio__mailmerge-155,swe_agent_record_00064_turn_00032,15,32,9591
swe_agent_record_00065,awdeorio__mailmerge-155,swe_agent_record_00065_turn_00044,21,44,20839
swe_agent_record_00066,awdeorio__mailmerge-155,swe_agent_record_00066_turn_00022,10,22,8836
swe_agent_record_00067,awdeorio__mailmerge-155,swe_agent_record_00067_turn_00018,8,18,8403
swe_agent_record_00068,awdeorio__mailmerge-155,swe_agent_record_00068_turn_00026,12,26,9269
swe_agent_record_00069,awdeorio__mailmerge-155,swe_agent_record_00069_turn_00022,10,22,9250
swe_agent_record_00070,awdeorio__mailmerge-155,swe_agent_record_00070_turn_00028,13,28,9899
swe_agent_record_00071,awdeorio__mailmerge-155,swe_agent_record_00071_turn_00018,8,18,11493
swe_agent_record_00072,awdeorio__mailmerge-155,swe_agent_record_00072_turn_00022,10,22,10203
swe_agent_record_00073,awdeorio__mailmerge-155,swe_agent_record_00073_turn_00036,17,36,13859
swe_agent_record_00074,awdeorio__mailmerge-155,swe_agent_record_00074_turn_00030,14,30,11960
swe_agent_record_00075,awdeorio__mailmerge-155,swe_agent_record_00075_turn_00052,25,52,13394
swe_agent_record_00076,awdeorio__mailmerge-155,swe_agent_record_00076_turn_00034,16,34,12061
swe_agent_record_00077,awdeorio__mailmerge-155,swe_agent_record_00077_turn_00024,11,24,11423
swe_agent_record_00078,awdeorio__mailmerge-155,swe_agent_record_00078_turn_00016,7,16,8403
swe_agent_record_00079,awdeorio__mailmerge-155,swe_agent_record_00079_turn_00018,8,18,9192
swe_agent_record_00080,awdeorio__mailmerge-155,swe_agent_record_00080_turn_00018,8,18,8305
swe_agent_record_00081,awdeorio__mailmerge-155,swe_agent_record_00081_turn_00020,9,20,10335
swe_agent_record_00082,awdeorio__mailmerge-155,swe_agent_record_00082_turn_00048,23,48,12649
swe_agent_record_00083,awdeorio__mailmerge-155,swe_agent_record_00083_turn_00076,37,76,26861
swe_agent_record_00084,awdeorio__mailmerge-155,swe_agent_record_00084_turn_00064,31,64,27128
swe_agent_record_00085,awdeorio__mailmerge-155,swe_agent_record_00085_turn_00038,18,38,12697
swe_agent_record_00086,awdeorio__mailmerge-155,swe_agent_record_00086_turn_00022,10,22,8513
swe_agent_record_00087,awdeorio__mailmerge-155,swe_agent_record_00087_turn_00020,9,20,9481
swe_agent_record_00088,awdeorio__mailmerge-155,swe_agent_record_00088_turn_00120,59,120,27108
swe_agent_record_00089,awdeorio__mailmerge-155,swe_agent_record_00089_turn_00030,14,30,12826
swe_agent_record_00090,awdeorio__mailmerge-155,swe_agent_record_00090_turn_00022,10,22,9076
swe_agent_record_00091,awdeorio__mailmerge-155,swe_agent_record_00091_turn_00018,8,18,8173
swe_agent_record_00092,awdeorio__mailmerge-155,swe_agent_record_00092_turn_00034,16,34,10192
swe_agent_record_00093,awdeorio__mailmerge-155,swe_agent_record_00093_turn_00020,9,20,14167
swe_agent_record_00094,awdeorio__mailmerge-155,swe_agent_record_00094_turn_00028,13,28,9366
swe_agent_record_00095,awdeorio__mailmerge-155,swe_agent_record_00095_turn_00026,12,26,10180
swe_agent_record_00096,awdeorio__mailmerge-155,swe_agent_record_00096_turn_00022,10,22,9840
swe_agent_record_00097,awdeorio__mailmerge-155,swe_agent_record_00097_turn_00026,12,26,9766
swe_agent_record_00098,awdeorio__mailmerge-155,swe_agent_record_00098_turn_00022,10,22,9626
swe_agent_record_00099,biolink__biolink-model-toolkit-52,swe_agent_record_00099_turn_00046,22,46,12191
swe_agent_record_00100,biolink__biolink-model-toolkit-52,swe_agent_record_00100_turn_00038,18,38,9863
swe_agent_record_00101,biolink__biolink-model-toolkit-52,swe_agent_record_00101_turn_00052,25,52,19970
swe_agent_record_00102,biolink__biolink-model-toolkit-52,swe_agent_record_00102_turn_00478,238,478,25677
swe_agent_record_00103,biolink__biolink-model-toolkit-52,swe_agent_record_00103_turn_00038,18,38,10304
swe_agent_record_00104,biolink__biolink-model-toolkit-52,swe_agent_record_00104_turn_00102,50,102,26359
swe_agent_record_00105,biolink__biolink-model-toolkit-52,swe_agent_record_00105_turn_00066,32,66,19951
swe_agent_record_00106,biolink__biolink-model-toolkit-52,swe_agent_record_00106_turn_00034,16,34,9543
swe_agent_record_00107,biolink__biolink-model-toolkit-52,swe_agent_record_00107_turn_00056,27,56,26191
swe_agent_record_00108,biolink__biolink-model-toolkit-52,swe_agent_record_00108_turn_00032,15,32,11899
swe_agent_record_00109,biolink__biolink-model-toolkit-52,swe_agent_record_00109_turn_00030,14,30,9657
swe_agent_record_00110,biolink__biolink-model-toolkit-52,swe_agent_record_00110_turn_00040,19,40,7512
swe_agent_record_00111,common-workflow-language__cwltool-1469,swe_agent_record_00111_turn_00026,12,26,5967
swe_agent_record_00112,common-workflow-language__cwltool-1469,swe_agent_record_00112_turn_00200,99,200,26914
swe_agent_record_00113,common-workflow-language__cwltool-1469,swe_agent_record_00113_turn_00096,47,96,27386
swe_agent_record_00114,common-workflow-language__cwltool-1469,swe_agent_record_00114_turn_00078,38,78,20020
swe_agent_record_00115,common-workflow-language__cwltool-1469,swe_agent_record_00115_turn_00010,4,10,5764
swe_agent_record_00116,common-workflow-language__cwltool-1469,swe_agent_record_00116_turn_00028,13,28,6097
swe_agent_record_00117,common-workflow-language__cwltool-1469,swe_agent_record_00117_turn_00060,29,60,13047
swe_agent_record_00118,common-workflow-language__cwltool-1469,swe_agent_record_00118_turn_00126,62,126,27250
swe_agent_record_00119,common-workflow-language__cwltool-1469,swe_agent_record_00119_turn_00128,63,128,26906
swe_agent_record_00120,common-workflow-language__cwltool-1469,swe_agent_record_00120_turn_00118,58,118,27398
swe_agent_record_00121,common-workflow-language__cwltool-1469,swe_agent_record_00121_turn_00010,4,10,4771
swe_agent_record_00122,common-workflow-language__cwltool-1469,swe_agent_record_00122_turn_00008,3,8,4465
swe_agent_record_00123,common-workflow-language__cwltool-1469,swe_agent_record_00123_turn_00018,8,18,5544
swe_agent_record_00124,common-workflow-language__cwltool-1469,swe_agent_record_00124_turn_00024,11,24,107347
swe_agent_record_00125,common-workflow-language__cwltool-1469,swe_agent_record_00125_turn_00014,6,14,5222
swe_agent_record_00126,common-workflow-language__cwltool-1469,swe_agent_record_00126_turn_00072,35,72,16958
swe_agent_record_00127,common-workflow-language__cwltool-1469,swe_agent_record_00127_turn_00008,3,8,4394
swe_agent_record_00128,getlogbook__logbook-242,swe_agent_record_00128_turn_00096,47,96,27105
swe_agent_record_00129,getlogbook__logbook-242,swe_agent_record_00129_turn_00022,10,22,9213
swe_agent_record_00130,getlogbook__logbook-242,swe_agent_record_00130_turn_00096,47,96,27402
swe_agent_record_00131,getlogbook__logbook-242,swe_agent_record_00131_turn_00040,19,40,15006
swe_agent_record_00132,getlogbook__logbook-242,swe_agent_record_00132_turn_00074,36,74,27199
swe_agent_record_00133,getlogbook__logbook-242,swe_agent_record_00133_turn_00042,20,42,13066
swe_agent_record_00134,getlogbook__logbook-242,swe_agent_record_00134_turn_00082,40,82,27432
swe_agent_record_00135,getlogbook__logbook-242,swe_agent_record_00135_turn_00090,44,90,27142
swe_agent_record_00136,getlogbook__logbook-242,swe_agent_record_00136_turn_00090,44,90,26958
swe_agent_record_00137,getlogbook__logbook-242,swe_agent_record_00137_turn_00072,35,72,27192
swe_agent_record_00138,getlogbook__logbook-242,swe_agent_record_00138_turn_00086,42,86,27186
swe_agent_record_00139,getlogbook__logbook-242,swe_agent_record_00139_turn_00080,39,80,26876
swe_agent_record_00140,getlogbook__logbook-242,swe_agent_record_00140_turn_00024,11,24,18316
swe_agent_record_00141,getlogbook__logbook-242,swe_agent_record_00141_turn_00078,38,78,27309
swe_agent_record_00142,getlogbook__logbook-242,swe_agent_record_00142_turn_00068,33,68,26839
swe_agent_record_00143,google__yapf-441,swe_agent_record_00143_turn_00002,0,2,1857
swe_agent_record_00144,google__yapf-441,swe_agent_record_00144_turn_00054,26,54,26811
swe_agent_record_00145,google__yapf-441,swe_agent_record_00145_turn_00030,14,30,26321
swe_agent_record_00146,google__yapf-441,swe_agent_record_00146_turn_00044,21,44,27024
swe_agent_record_00147,google__yapf-441,swe_agent_record_00147_turn_00034,16,34,26866
swe_agent_record_00148,google__yapf-441,swe_agent_record_00148_turn_00106,52,106,26430
swe_agent_record_00149,google__yapf-441,swe_agent_record_00149_turn_00048,23,48,26779
swe_agent_record_00150,google__yapf-441,swe_agent_record_00150_turn_00010,4,10,3903
swe_agent_record_00151,google__yapf-441,swe_agent_record_00151_turn_00178,88,178,26858
swe_agent_record_00152,google__yapf-441,swe_agent_record_00152_turn_00060,29,60,13927
swe_agent_record_00153,google__yapf-441,swe_agent_record_00153_turn_00054,26,54,27284
swe_agent_record_00154,google__yapf-441,swe_agent_record_00154_turn_00158,78,158,26677
swe_agent_record_00155,gouline__dbt-metabase-233,swe_agent_record_00155_turn_00022,10,22,6074
swe_agent_record_00156,gouline__dbt-metabase-233,swe_agent_record_00156_turn_00022,10,22,5892
swe_agent_record_00157,gouline__dbt-metabase-233,swe_agent_record_00157_turn_00024,11,24,6884
swe_agent_record_00158,gouline__dbt-metabase-233,swe_agent_record_00158_turn_00040,19,40,9610
swe_agent_record_00159,gouline__dbt-metabase-233,swe_agent_record_00159_turn_00024,11,24,5536
swe_agent_record_00160,gouline__dbt-metabase-233,swe_agent_record_00160_turn_00018,8,18,5346
swe_agent_record_00161,gouline__dbt-metabase-233,swe_agent_record_00161_turn_00020,9,20,5712
swe_agent_record_00162,iterative__dvc-3156,swe_agent_record_00162_turn_00036,17,36,11394
swe_agent_record_00163,iterative__dvc-3156,swe_agent_record_00163_turn_00116,57,116,31865
swe_agent_record_00164,iterative__dvc-3156,swe_agent_record_00164_turn_00150,74,150,31574
swe_agent_record_00165,iterative__dvc-3156,swe_agent_record_00165_turn_00036,17,36,8722
swe_agent_record_00166,iterative__dvc-3156,swe_agent_record_00166_turn_00032,15,32,5838
swe_agent_record_00167,iterative__dvc-3156,swe_agent_record_00167_turn_00134,66,134,31580
swe_agent_record_00168,iterative__dvc-3156,swe_agent_record_00168_turn_00132,65,132,24426
swe_agent_record_00169,iterative__dvc-3156,swe_agent_record_00169_turn_00052,25,52,14037
swe_agent_record_00170,iterative__dvc-3156,swe_agent_record_00170_turn_00010,4,10,3036
swe_agent_record_00171,iterative__dvc-3156,swe_agent_record_00171_turn_00074,36,74,7734
swe_agent_record_00172,iterative__dvc-3156,swe_agent_record_00172_turn_00086,42,86,22902
swe_agent_record_00173,iterative__dvc-3156,swe_agent_record_00173_turn_00054,26,54,8384
swe_agent_record_00174,iterative__dvc-3156,swe_agent_record_00174_turn_00102,50,102,32227
swe_agent_record_00175,iterative__dvc-3156,swe_agent_record_00175_turn_00022,10,22,4780
swe_agent_record_00176,iterative__dvc-3156,swe_agent_record_00176_turn_00168,83,168,31645
swe_agent_record_00177,iterative__dvc-3156,swe_agent_record_00177_turn_00112,55,112,31042
swe_agent_record_00178,iterative__dvc-8904,swe_agent_record_00178_turn_00018,8,18,6983
swe_agent_record_00179,iterative__dvc-8904,swe_agent_record_00179_turn_00130,64,130,32026
swe_agent_record_00180,iterative__dvc-8904,swe_agent_record_00180_turn_00082,40,82,26678
swe_agent_record_00181,iterative__dvc-8904,swe_agent_record_00181_turn_00136,67,136,31067
swe_agent_record_00182,iterative__dvc-8904,swe_agent_record_00182_turn_00036,17,36,9335
swe_agent_record_00183,iterative__dvc-8904,swe_agent_record_00183_turn_00032,15,32,11059
swe_agent_record_00184,iterative__dvc-8904,swe_agent_record_00184_turn_00036,17,36,31651
swe_agent_record_00185,iterative__dvc-8904,swe_agent_record_00185_turn_00114,56,114,30831
swe_agent_record_00186,iterative__dvc-8904,swe_agent_record_00186_turn_00108,53,108,31828
swe_agent_record_00187,iterative__dvc-8904,swe_agent_record_00187_turn_00068,33,68,23096
swe_agent_record_00188,iterative__dvc-8904,swe_agent_record_00188_turn_00144,71,144,26757
swe_agent_record_00189,iterative__dvc-8904,swe_agent_record_00189_turn_00028,13,28,9184
swe_agent_record_00190,iterative__dvc-8904,swe_agent_record_00190_turn_00018,8,18,4641
swe_agent_record_00191,iterative__dvc-8904,swe_agent_record_00191_turn_00044,21,44,13926
swe_agent_record_00192,iterative__dvc-8904,swe_agent_record_00192_turn_00046,22,46,11429
swe_agent_record_00193,iterative__dvc-8904,swe_agent_record_00193_turn_00044,21,44,10162
swe_agent_record_00194,iterative__dvc-8904,swe_agent_record_00194_turn_00024,11,24,6400
swe_agent_record_00195,iterative__dvc-8904,swe_agent_record_00195_turn_00044,21,44,31876
swe_agent_record_00196,iterative__dvc-8904,swe_agent_record_00196_turn_00254,126,254,16743
swe_agent_record_00197,iterative__dvc-8904,swe_agent_record_00197_turn_00028,13,28,10540
swe_agent_record_00198,iterative__dvc-8904,swe_agent_record_00198_turn_00022,10,22,7331
swe_agent_record_00199,iterative__dvc-8904,swe_agent_record_00199_turn_00036,17,36,16037
swe_agent_record_00200,iterative__dvc-8904,swe_agent_record_00200_turn_00018,8,18,3948
swe_agent_record_00201,iterative__dvc-8904,swe_agent_record_00201_turn_00026,12,26,9356
swe_agent_record_00202,iterative__dvc-8904,swe_agent_record_00202_turn_00072,35,72,31844
swe_agent_record_00203,iterative__dvc-8904,swe_agent_record_00203_turn_00026,12,26,7644
swe_agent_record_00204,iterative__dvc-8904,swe_agent_record_00204_turn_00064,31,64,16760
swe_agent_record_00205,iterative__dvc-8904,swe_agent_record_00205_turn_00042,20,42,16059
swe_agent_record_00206,iterative__dvc-8904,swe_agent_record_00206_turn_00028,13,28,11270
swe_agent_record_00207,iterative__dvc-8904,swe_agent_record_00207_turn_00018,8,18,6423
swe_agent_record_00208,iterative__dvc-8904,swe_agent_record_00208_turn_00032,15,32,9654
swe_agent_record_00209,iterative__dvc-8904,swe_agent_record_00209_turn_00026,12,26,11179
swe_agent_record_00210,iterative__dvc-8904,swe_agent_record_00210_turn_00072,35,72,26458
swe_agent_record_00211,iterative__dvc-8904,swe_agent_record_00211_turn_00034,16,34,11843
swe_agent_record_00212,iterative__dvc-8904,swe_agent_record_00212_turn_00062,30,62,30993
swe_agent_record_00213,iterative__dvc-8904,swe_agent_record_00213_turn_00122,60,122,31617
swe_agent_record_00214,iterative__dvc-8904,swe_agent_record_00214_turn_00036,17,36,13935
swe_agent_record_00215,iterative__dvc-8904,swe_agent_record_00215_turn_00032,15,32,11456
swe_agent_record_00216,iterative__dvc-8904,swe_agent_record_00216_turn_00028,13,28,9291
swe_agent_record_00217,iterative__dvc-8904,swe_agent_record_00217_turn_00024,11,24,9635
swe_agent_record_00218,iterative__dvc-8904,swe_agent_record_00218_turn_00078,38,78,28662
swe_agent_record_00219,iterative__dvc-8904,swe_agent_record_00219_turn_00040,19,40,12861
swe_agent_record_00220,iterative__dvc-8904,swe_agent_record_00220_turn_00030,14,30,11540
swe_agent_record_00221,iterative__shtab-26,swe_agent_record_00221_turn_00022,10,22,4762
swe_agent_record_00222,iterative__shtab-26,swe_agent_record_00222_turn_00012,5,12,3741
swe_agent_record_00223,iterative__shtab-26,swe_agent_record_00223_turn_00012,5,12,4596
swe_agent_record_00224,iterative__shtab-26,swe_agent_record_00224_turn_00012,5,12,3906
swe_agent_record_00225,iterative__shtab-26,swe_agent_record_00225_turn_00010,4,10,3606
swe_agent_record_00226,iterative__shtab-26,swe_agent_record_00226_turn_00010,4,10,3752
swe_agent_record_00227,iterative__shtab-26,swe_agent_record_00227_turn_00006,2,6,3461
swe_agent_record_00228,iterative__shtab-26,swe_agent_record_00228_turn_00010,4,10,3654
swe_agent_record_00229,iterative__shtab-26,swe_agent_record_00229_turn_00014,6,14,5394
swe_agent_record_00230,iterative__shtab-26,swe_agent_record_00230_turn_00016,7,16,5091
swe_agent_record_00231,iterative__shtab-26,swe_agent_record_00231_turn_00058,28,58,26951
swe_agent_record_00232,iterative__shtab-26,swe_agent_record_00232_turn_00006,2,6,3611
swe_agent_record_00233,iterative__shtab-26,swe_agent_record_00233_turn_00106,52,106,27089
swe_agent_record_00234,iterative__shtab-26,swe_agent_record_00234_turn_00046,22,46,12913
swe_agent_record_00235,iterative__shtab-26,swe_agent_record_00235_turn_00018,8,18,4519
swe_agent_record_00236,iterative__shtab-26,swe_agent_record_00236_turn_00062,30,62,27019
swe_agent_record_00237,iterative__shtab-26,swe_agent_record_00237_turn_00090,44,90,27381
swe_agent_record_00238,iterative__shtab-26,swe_agent_record_00238_turn_00018,8,18,4391
swe_agent_record_00239,ivankorobkov__python-inject-66,swe_agent_record_00239_turn_00032,15,32,9835
swe_agent_record_00240,ivankorobkov__python-inject-66,swe_agent_record_00240_turn_00034,16,34,7734
swe_agent_record_00241,ivankorobkov__python-inject-66,swe_agent_record_00241_turn_00038,18,38,13005
swe_agent_record_00242,ivankorobkov__python-inject-66,swe_agent_record_00242_turn_00028,13,28,7370
swe_agent_record_00243,ivankorobkov__python-inject-66,swe_agent_record_00243_turn_00026,12,26,7085
swe_agent_record_00244,ivankorobkov__python-inject-66,swe_agent_record_00244_turn_00012,5,12,2864
swe_agent_record_00245,ivankorobkov__python-inject-66,swe_agent_record_00245_turn_00024,11,24,6506
swe_agent_record_00246,ivankorobkov__python-inject-66,swe_agent_record_00246_turn_00030,14,30,8818
swe_agent_record_00247,ivankorobkov__python-inject-66,swe_agent_record_00247_turn_00028,13,28,7639
swe_agent_record_00248,ivankorobkov__python-inject-66,swe_agent_record_00248_turn_00026,12,26,7313
swe_agent_record_00249,ivankorobkov__python-inject-66,swe_agent_record_00249_turn_00038,18,38,11319
swe_agent_record_00250,ivankorobkov__python-inject-66,swe_agent_record_00250_turn_00034,16,34,7722
swe_agent_record_00251,ivankorobkov__python-inject-66,swe_agent_record_00251_turn_00032,15,32,7945
swe_agent_record_00252,ivankorobkov__python-inject-66,swe_agent_record_00252_turn_00028,13,28,8375
swe_agent_record_00253,ivankorobkov__python-inject-66,swe_agent_record_00253_turn_00030,14,30,8254
swe_agent_record_00254,ivankorobkov__python-inject-66,swe_agent_record_00254_turn_00030,14,30,7683
swe_agent_record_00255,ivankorobkov__python-inject-66,swe_agent_record_00255_turn_00030,14,30,8837
swe_agent_record_00256,ivankorobkov__python-inject-66,swe_agent_record_00256_turn_00026,12,26,7529
swe_agent_record_00257,ivankorobkov__python-inject-66,swe_agent_record_00257_turn_00022,10,22,6949
swe_agent_record_00258,ivankorobkov__python-inject-66,swe_agent_record_00258_turn_00036,17,36,9473
swe_agent_record_00259,ivankorobkov__python-inject-66,swe_agent_record_00259_turn_00028,13,28,8492
swe_agent_record_00260,ivankorobkov__python-inject-66,swe_agent_record_00260_turn_00036,17,36,8170
swe_agent_record_00261,ivankorobkov__python-inject-66,swe_agent_record_00261_turn_00044,21,44,9671
swe_agent_record_00262,ivankorobkov__python-inject-66,swe_agent_record_00262_turn_00030,14,30,8815
swe_agent_record_00263,ivankorobkov__python-inject-66,swe_agent_record_00263_turn_00038,18,38,10371
swe_agent_record_00264,ivankorobkov__python-inject-66,swe_agent_record_00264_turn_00072,35,72,27007
swe_agent_record_00265,ivankorobkov__python-inject-66,swe_agent_record_00265_turn_00048,23,48,16380
swe_agent_record_00266,ivankorobkov__python-inject-66,swe_agent_record_00266_turn_00042,20,42,11827
swe_agent_record_00267,ivankorobkov__python-inject-66,swe_agent_record_00267_turn_00026,12,26,6107
swe_agent_record_00268,ivankorobkov__python-inject-66,swe_agent_record_00268_turn_00022,10,22,7166
swe_agent_record_00269,ivankorobkov__python-inject-66,swe_agent_record_00269_turn_00028,13,28,7315
swe_agent_record_00270,ivankorobkov__python-inject-66,swe_agent_record_00270_turn_00036,17,36,12280
swe_agent_record_00271,ivankorobkov__python-inject-66,swe_agent_record_00271_turn_00038,18,38,11992
swe_agent_record_00272,ivankorobkov__python-inject-66,swe_agent_record_00272_turn_00032,15,32,8768
swe_agent_record_00273,ivankorobkov__python-inject-66,swe_agent_record_00273_turn_00040,19,40,13063
swe_agent_record_00274,ivankorobkov__python-inject-66,swe_agent_record_00274_turn_00032,15,32,10804
swe_agent_record_00275,ivankorobkov__python-inject-66,swe_agent_record_00275_turn_00026,12,26,7244
swe_agent_record_00276,ivankorobkov__python-inject-66,swe_agent_record_00276_turn_00034,16,34,10444
swe_agent_record_00277,ivankorobkov__python-inject-66,swe_agent_record_00277_turn_00032,15,32,8548
swe_agent_record_00278,ivankorobkov__python-inject-66,swe_agent_record_00278_turn_00084,41,84,27488
swe_agent_record_00279,ivankorobkov__python-inject-66,swe_agent_record_00279_turn_00048,23,48,15242
swe_agent_record_00280,ivankorobkov__python-inject-66,swe_agent_record_00280_turn_00034,16,34,9953
swe_agent_record_00281,ivankorobkov__python-inject-66,swe_agent_record_00281_turn_00032,15,32,12236
swe_agent_record_00282,mapbox__cligj-14,swe_agent_record_00282_turn_00024,11,24,11082
swe_agent_record_00283,mapbox__cligj-14,swe_agent_record_00283_turn_00018,8,18,6113
swe_agent_record_00284,mapbox__cligj-14,swe_agent_record_00284_turn_00090,44,90,26691
swe_agent_record_00285,mapbox__cligj-14,swe_agent_record_00285_turn_00038,18,38,17547
swe_agent_record_00286,mapbox__cligj-14,swe_agent_record_00286_turn_00068,33,68,27556
swe_agent_record_00287,mapbox__cligj-14,swe_agent_record_00287_turn_00202,100,202,26951
swe_agent_record_00288,mapbox__cligj-14,swe_agent_record_00288_turn_00014,6,14,3445
swe_agent_record_00289,mapbox__cligj-14,swe_agent_record_00289_turn_00028,13,28,8125
